ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
120,Pacific,Big West,Low,37.97665,-121.31515,Alex G. Spanos Center,6150,,1981,Pacific Tigers
121,Santa Barbara,Big West,Low,34.413792,-119.851147,UC Santa Barbara Events Center,5600,,,UC Santa Barbara Gauchos
122,UC Riverside,Big West,Low,33.9789,-117.32813,UC Riverside Student Recreation Center,3168,,1994,UC Riverside Highlanders
123,California Davis,Big West,Low,38.541667,-121.759444,The Pavilion,7600,,,UC Davis Aggies
124,Charlotte,C-USA,Mid,35.306111,-80.734444,Dale F. Halton Arena,9105,,,Charlotte 49ers
125,East Carolina,C-USA,Mid,35.597391,-77.367167,Williams Arena at Minges Coliseum,8000,,1968,East Carolina Pirates
126,Florida Atlantic,C-USA,Low,26.372222,-80.109167,FAU Arena,5000,,,Florida Atlantic Owls
127,Florida International,C-USA,Low,25.756667,-80.379444,U.S. Century Bank Arena,5000,,,FIU Golden Panthers
128,Louisiana Tech,C-USA,Low,32.5321,-92.6584,Thomas Assembly Center,8098,,1982,Louisiana Tech Bulldogs
129,Marshall,C-USA,Mid,38.424908,-82.426575,Cam Henderson Center,9048,,,Marshall Thundering Herd
130,Middle Tennessee,C-USA,Low,35.852466,-86.369802,Monte Hale Arena,11802,,,Middle Tennessee Blue Raiders
131,North Texas,C-USA,Low,33.208333,-97.153889,The Super Pit,10040,,,North Texas Mean Green
132,Old Dominion,C-USA,Mid,36.884169,-76.301231,Ted Constant Convocation Center,9520,,2002,Old Dominion Monarchs
133,Rice,C-USA,Mid,29.715102,-95.403895,Tudor Fieldhouse,5750,,,Rice Owls
134,Southern Miss,C-USA,Mid,31.330833,-89.337778,Reed Green Coliseum,8095,,1965,Southern Miss Golden Eagles
135,Texas-El Paso,C-USA,Mid,31.777608,-106.505718,Don Haskins Center,12222,,,UTEP Miners
136,Texas-San Antonio,C-USA,Low,29.582222,-98.621389,Convocation Center,4080,,,UTSA Roadrunners
137,Tulane,C-USA,Mid,29.938611,-90.120556,Devlin Fieldhouse,3600,,,Tulane Green Wave
138,Tulsa,C-USA,Mid,36.148611,-95.941944,Reynolds Center,8355,,1998,Tulsa Golden Hurricane
139,UAB,C-USA,Mid,33.502164,-86.809244,Bartow Arena,8508,,,UAB Blazers
140,College of Charleston,CAA,Low,32.78566,-79.934399,TD Arena,5000,,,Charleston Cougars
141,Delaware,CAA,Mid,39.660536,-75.748694,Bob Carpenter Center,5000,,,Delaware Fightin' Blue Hens
142,Drexel,CAA,Mid,39.956389,-75.190833,Daskalakis Athletic Center,2532,,1974,Drexel Dragons
143,Hofstra,CAA,Mid,40.719681,-73.596865,Hofstra Arena,5124,,,Hofstra Pride
144,James Madison,CAA,Mid,38.431892,-78.868854,James Madison University Convocation Center,7156,,,James Madison Dukes
145,NC-Wilmington,CAA,Mid,34.224932,-77.878518,Trask Coliseum,6100,,,UNCW Seahawks
146,Northeastern,CAA,Mid,42.341111,-71.084444,Matthews Arena,6000,,,Northeastern Huskies
147,Towson,CAA,Mid,39.386375,-76.616238,Towson Center,5250,,,Towson Tigers
148,William & Mary,CAA,Mid,37.273539,-76.719745,Kaplan Arena,8600,,,William & Mary Tribe
149,Cleveland State,Horizon,Low,41.499167,-81.676944,Wolstein Center,13610,,1991,Cleveland State Vikings
150,Detroit,Horizon,Low,42.414167,-83.135833,Calihan Hall,8295,,,Detroit Titans
151,Green Bay,Horizon,Low,44.499547,-88.055049,Resch Center,10200,,,Green Bay Phoenix
152,Illinois-Chicago,Horizon,Low,41.874722,-87.656111,UIC Pavilion,6958,,,UIC Flames
153,Oakland,Horizon,Low,42.673972,-83.213158,Athletics Center O'rena,4005,,,Oakland Golden Grizzlies
154,Valparaiso,Horizon,Low,41.464198,-87.048338,Athletics–Recreation Center,5000,,,Valparaiso Crusaders
155,Wisconsin-Milwaukee,Horizon,Low,43.079414,-87.879783,Klotsche Center,3500,,,Milwaukee Panthers
156,Wright State,Horizon,Low,39.781944,-84.0525,Nutter Center,10400,,,Wright State Raiders
157,Youngstown State,Horizon,Low,41.108056,-80.648889,Beeghly Center,6300,,,Youngstown State Penguins
158,New Jersey Tech,Independent,Low,40.743055,-74.17973,Fleisher Center,1500,,,NJIT Highlanders
159,Brown,Ivy,Low,41.831743,-71.398043,Pizzitola Sports Center,2800,,,Brown Bears
160,Columbia,Ivy,Low,40.80979,-73.961715,Francis S. Levien Gym,3408,,,Columbia Lions
161,Cornell,Ivy,Low,42.445794,-76.476581,Newman Arena,4473,,,Cornell Big Red
162,Dartmouth,Ivy,Low,43.703056,-72.283333,Leede Arena,2100,,1986,Dartmouth Big Green
163,Harvard,Ivy,Low,42.368218,-71.125291,Lavietes Pavilion,2195,,1926,Harvard Crimson
164,Pennsylvania,Ivy,Low,39.951411,-75.188606,Palestra,8722,,1927,Penn Quakers
165,Princeton,Ivy,Low,40.343449,-74.648595,Jadwin Gymnasium,6854,,1969,Princeton Tigers
166,Yale,Ivy,Low,41.313611,-72.930556,Payne Whitney Gymnasium,2532,,,Yale Bulldogs
167,Canisius,MAAC,Low,42.920919,-78.85754,Koessler Athletic Center,2176,,1968,Canisius Golden Griffins
168,Fairfield,MAAC,Low,41.1732,-73.187,Webster Bank Arena,9000,,,Fairfield Stags
169,Iona,MAAC,Low,40.92664,-73.784325,Hynes Athletic Center,2611,,1974,Iona Gaels
170,Manhattan,MAAC,Low,40.89073,-73.900158,Draddy Gymnasium,2345,,,Manhattan Jaspers
171,Marist,MAAC,Low,41.718431,-73.934,McCann Field House,3200,,,Marist Red Foxes
172,Monmouth,MAAC,Low,40.279475,-74.007583,Multipurpose Activity Center,4100,,2009,Monmouth Hawks
